"Status","File","ProductNumber","ProductName","Reason","Warnings","ImagePath","OcrText"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.51 PM.jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.51 PM.jpeg","65mm 112mm 170mm 28mm fifi Tog 510N ooeo 112X65X170X28-xs TORQUE BUSH HOW070 ( NEW MODEL )"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.52 PM (1).jpeg","ID-70M-HOLE","Drive Shaft Hanger Assembly","OCR result needs manual review before import.","Product-number candidate appears to include extra descriptive text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.52 PM (1).jpeg","ID 70mm DRIVER SHAFT HANGER ASSEMBLY ooe@ HI 36mm C-C 220mm xs L/s RUBBER ASSY HOWO ID 70M HOLE C-C 220MM O/SEAL BRG HI 36"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.52 PM (2).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.52 PM (2).jpeg","77mm - 85mm 152mm Tog 510M R OO@O 85X77X152X21-xs TORQUE BUSH RUBBER TYPE M21"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.52 PM.jpeg","TO510NR","Torque Bush","OCR result needs manual review before import.","Product number contains OCR-ambiguous O/0 characters.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.52 PM.jpeg","72mm '108mm 152mm 21 mm TOß510NR oe@o 108X72X152X21-xs TORQUE BUSH"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.53 PM.jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.53 PM.jpeg","64mm 90m 152mm Tog 510M R 00@0 , TORQUE BUSH SHACMAN RUBBER TYPE"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.54 PM (1).jpeg","","Rubber Bush Assembly","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.54 PM (1).jpeg","108 TORSION RUBBER CURE oe@0Å 72 152 21 108 x 72 x 152 x 21-xs TORQUE BUSH"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.55 PM (1).jpeg","","Rubber Bush Assembly","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.55 PM (1).jpeg","95 TORSION RUBBER CORE 0000 69 152 21 95 x 69 x 152 x 21-xs TORQUE BUS DF RUBBER TYPE"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.55 PM (2).jpeg","","Rubber Bush Assembly","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.55 PM (2).jpeg","88 TORSION RUBBER CORE 0090 53 110 19 88 x 53 x 110 x 19-xs TORQUE BUSH MAN"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.55 PM.jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.55 PM.jpeg","57 95 152 g ugBER CORE 0000 95 x 57 x 152 x 21-xs TORQUE BUSH 95X57 21"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.56 PM (1).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.56 PM (1).jpeg","90 TORSION guBßER 73 152 90 x 73 x 152 x 21-xs TORQUE BUSH HOWO RUBBER 21"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.58 PM (3).jpeg","ID-70M-HOLE","Drive Shaft Hanger Assembly","OCR result needs manual review before import.","Product-number candidate appears to include extra descriptive text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.58 PM (3).jpeg","HI 20 INNER ID 70 HI 36 DRIVER SHAFT HANGER ASSEMBLY c-c 220 70X36X220 xs L/s RUBBER ASSY HOWO ID 70M HOLE C-C 220MM O/SEAL 85X115X12 BRG HI 36"
