"Status","File","ProductNumber","ProductName","Reason","Warnings","ImagePath","OcrText"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.45 PM (1).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.45 PM (1).jpeg","21 9 63 152 TORQUE BUSH STEEL TYPE"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.45 PM.jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.45 PM.jpeg","TORQUE BUSH"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.46 PM (2).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.46 PM (2).jpeg","50 80 152 80X50X152X21-xs TORQUE BUSH DF KINLAND & AJMAN"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.46 PM (3).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.46 PM (3).jpeg","80X50X152X21-XS TORQUE BUSH DF KINLAND & AUMAN"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.47 PM (1).jpeg","","V Bar Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.47 PM (1).jpeg","85 53 25 130 V BAR BUSH 2 HOLE HO\/VO"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.47 PM (2).jpeg","","V Bar Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.47 PM (2).jpeg","V BAR BUSH 2 HOLE"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.48 PM (2).jpeg","OD-85-HOLE-12M","","OCR result needs manual review before import.","Product name could not be identified from OCR text. | Alternate product/OE numbers detected and stored for search: 120-HI-53.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.48 PM (2).jpeg","Tog 510M R OO@O 53mm M12 120mm SKSB-IOOI TORQUE BUS 4 HOLE CPII SKS OD 85 HOLE 12M C-C 120 HI 53"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.50 PM (1).jpeg","","Drive Shaft Hanger Assembly","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.50 PM (1).jpeg","ID 70mm DRIVER SHAFT HANGER ASSEMBLY oee@ HI 36mm C-C 200mm xs LIS RUBBER ASSY CAMC ID 70M L 215 SEAL 85X115X12 C-C 200 BRG HI 36"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.50 PM.jpeg","ID-75M-HOLE","Drive Shaft Hanger Assembly","OCR result needs manual review before import.","Product-number candidate appears to include extra descriptive text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.50 PM.jpeg","ID 75mm DRIVER SHAFT HANGER ASSEMBLY HI 30 C-C 250mm xs LIS RUBBER ASSY HOWO ID 75M HOLE C-C 250MM BRG H130"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.51 PM (2).jpeg","WI11511RMANR","Drive Shaft Hanger Assembly","OCR result needs manual review before import.","Long alphabetic suffix may be OCR bleed from the description. | Alternate product/OE numbers detected and stored for search: ID-70M-HOLE.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.51 PM (2).jpeg","ID 70mm Wiä115å11üRmanr DRIVER SHAFT HANGER ASSEMBLY HI 20mm C-C 220mm L/s RUBBER ASSY HOWO ID 70M HOLE C-C 220MM O/SEAL 85X115X12 BRG HI 20"
